Year,D1,D5,D10,D20,D50
1975,884000000,3014000000,815000000,397000000,0
1976,831000000,3261000000,1157000000,500000000,0
1977,805000000,3431000000,1596000000,652000000,0
1978,800000000,3625000000,2172000000,852000000,0
1979,782000000,3694000000,2948000000,1125000000,0
1980,704000000,3540000000,3610000000,1419000000,0
1981,673000000,3343000000,4043000000,1686000000,0
1982,657000000,3097000000,4298000000,1833000000,274000000
1983,641000000,2850000000,4531000000,1874000000,633000000
1984,583000000,2554000000,4846000000,1979000000,909000000
1985,528000000,2426000000,5232000000,2137000000,1089000000
1986,142000000,2225000000,5459000000,2310000000,1233000000
1987,117000000,2029000000,5633000000,2608000000,1475000000
1988,108000000,1896000000,5810000000,2932000000,1755000000
1989,102000000,1646000000,5806000000,3654000000,2054000000
1990,62000000,1539000000,5866000000,4380000000,2292000000
1991,61000000,1373000000,5810000000,4847000000,2375000000
1992,59000000,1166000000,5743000000,5288000000,2515000000
1993,58000000,1163000000,5348000000,6102000000,2732000000
1994,57000000,1135000000,5245000000,6818000000,2884000000
1995,57000000,1072000000,5348000000,7723000000,2852000000
1996,56000000,1067000000,5688000000,8579000000,3104000000
1997,56000000,1047000000,5915000000,9559000000,3273000000
1998,55000000,1034000000,5960000000,10621000000,3636000000
1999,0,1111000000,5966000000,11414000000,3962000000
2000,0,1045000000,5683000000,13198000000,4195000000
2001,0,1041000000,6107000000,14381000000,4657000000
2002,0,1044000000,5928000000,16335000000,5203000000
2003,0,1051000000,5932000000,18131000000,5447000000
2004,0,1025000000,5714000000,20070000000,5741000000
2005,0,1054120125,5670307810,21649491120,6082367250
2006,0,1051419770,5591110730,22690469920,6509844800
2007,0,1100055280,5885645230,23740108560,6704697350
2008,0,1241842555,6114697150,25648510140,7526234100
2009,0,1301741665,6304323380,28089044840,8690892200
2010,0,1245189185,6399023470,30047564300,9247647350
2011,0,1354854455,6492877310,30973352260,9939882200
2012,0,1477001355,6841100800,33129424720,9899153650
2013,0,1526010075,7233542690,35162863060,10322695900
2014,0,1540107090,7181953260,36483199820,11025238000
2015,0,1601072140,7371181810,38911652540,11787567100
2016,0,1645376335,7766891340,41037131760,13156859150
2017,0,1912126200,8006107430,43357230120,15600934650
2018,0,1910130865,7788952510,42692430960,16507853500
2019,0,1979064335,10523702290,40128587520,17210042000
2020,0,2068061930,13376613760,37142748020,17573511600
